"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"55","Carl Herrera","159","PF",28,"HOU",61,26,1331,171,327,0.523,0,2,0,171,325,0.526,73,117,0.624,98,180,278,44,40,38,71,136,415,11.7,0.548,0.523,0.358,0.006,8.9,14.8,12,4.9,1.5,2,15.8,15.1,105,108,0.6,1.5,2.1,0.076,0,0
"56","Carlos Rogers","310","C",23,"GSW",49,18,1017,180,340,0.529,2,14,0.143,178,326,0.546,76,146,0.521,108,170,278,37,22,52,84,124,438,14.3,0.542,0.532,0.429,0.041,11.7,18.7,15.1,5.8,1.1,3.5,17.2,20.3,101,110,0.1,0.8,0.9,0.045,0,0
"57","Cedric Ceballos","60","SF",25,"LAL",58,54,2029,497,977,0.509,58,146,0.397,439,831,0.528,209,292,0.716,169,295,464,105,60,19,143,131,1261,19.9,0.57,0.538,0.299,0.149,9.2,16.1,12.6,8.9,1.5,0.6,11.5,26.5,111,110,3.5,1.7,5.2,0.123,12,605
"58","Charles Barkley","20","PF",31,"PHO",68,66,2382,554,1141,0.486,74,219,0.338,480,922,0.521,379,507,0.748,203,553,756,276,110,45,150,201,1561,25.2,0.572,0.518,0.444,0.192,9.8,26.8,18.2,18.9,2.3,1.4,9.9,27.5,119,105,7.4,3.3,10.6,0.214,14,532
"59","Charles Jones","183","PF",37,"HOU",3,0,36,1,3,0.333,0,0,NA,1,3,0.333,1,2,0.5,2,5,7,0,0,1,0,8,3,2.6,0.387,0.333,0.667,0,6.7,15.2,11.2,0,0,1.9,0,4.8,108,110,0,0,0,0.05,0,0
"60","Charles Oakley","265","PF",31,"NYK",50,49,1567,192,393,0.489,3,12,0.25,189,381,0.496,119,150,0.793,155,290,445,126,60,7,103,179,506,14.3,0.551,0.492,0.382,0.031,12.1,21,16.7,12.7,2,0.3,18.3,16.4,109,101,1.6,2.9,4.5,0.138,0,0
"61","Charles Shackleford","328","PF",28,"MIN",21,2,239,39,65,0.6,0,0,NA,39,65,0.6,16,20,0.8,16,51,67,8,8,6,8,47,94,16.6,0.637,0.6,0.308,0,8.3,25.9,17.2,6.2,1.8,1.9,9.8,15.6,124,107,0.5,0.3,0.8,0.16,0,0
"62","Charles Smith","334","SF",29,"NYK",76,58,2150,352,747,0.471,7,31,0.226,345,716,0.482,255,322,0.792,144,180,324,120,49,95,147,286,966,13.9,0.544,0.476,0.431,0.041,8.2,9.5,8.8,9.4,1.2,3.3,14.2,22.1,106,105,1.7,3.1,4.8,0.107,0,0
"63","Charlie Ward","373","PG",24,"NYK",10,0,44,4,19,0.211,1,10,0.1,3,9,0.333,7,10,0.7,1,5,6,4,2,0,8,7,16,-2.1,0.342,0.237,0.526,0.526,2.8,12.9,8,13.7,2.4,0,25.5,32.7,63,103,-0.3,0.1,-0.2,-0.258,0,0
"64","Chris Childs","65","PG",27,"NJN",53,11,1021,106,279,0.38,41,125,0.328,65,154,0.422,55,73,0.753,14,55,69,219,42,3,76,116,308,11.2,0.495,0.453,0.262,0.448,1.5,5.9,3.7,33.8,2.1,0.2,19.6,16.7,104,111,0.5,0.8,1.2,0.058,0,0
"65","Chris Dudley","96","C",29,"POR",82,82,2245,181,446,0.406,0,1,0,181,445,0.407,85,183,0.464,325,439,764,34,43,126,81,286,447,10.9,0.424,0.406,0.41,0.002,15.6,23.2,19.2,2.1,1,4.2,13.3,11.4,102,103,0.4,3.7,4.1,0.087,0,0
"66","Chris Gatling","128","PF",27,"GSW",58,22,1470,324,512,0.633,0,1,0,324,511,0.634,148,250,0.592,144,299,443,51,39,52,117,184,796,19.5,0.64,0.633,0.488,0.002,10.7,22.7,16.7,5.9,1.3,2.4,15.8,21.2,114,109,2.6,1.4,3.9,0.129,0,0
"67","Chris Mills","243","SF",25,"CLE",80,79,2814,359,855,0.42,94,240,0.392,265,615,0.431,174,213,0.817,99,267,366,154,59,35,120,242,986,11.6,0.52,0.475,0.249,0.281,4.3,12.2,8.1,9.7,1.2,1,11.2,18.2,106,107,2,3.4,5.4,0.091,0,0
"68","Chris Morris","250","SF",29,"NJN",71,49,2131,351,856,0.41,106,317,0.334,245,539,0.455,142,195,0.728,181,221,402,147,86,51,117,155,950,15.5,0.504,0.472,0.228,0.37,9.3,11.4,10.3,12,2.1,1.7,11.1,21.8,106,108,1.8,2.2,4,0.09,0,0
"69","Chris Mullin","253","SF",31,"GSW",25,23,890,170,348,0.489,42,93,0.452,128,255,0.502,94,107,0.879,25,90,115,125,38,19,93,53,476,17.7,0.602,0.549,0.307,0.267,3.1,11.3,7.1,22.8,2.1,1.5,19.1,23.2,109,112,1.2,0.5,1.7,0.093,0,0
"70","Chris Smith","335","SG",24,"MIN",64,17,1073,116,264,0.439,47,108,0.435,69,156,0.442,41,63,0.651,14,59,73,146,32,22,50,119,320,11.2,0.548,0.528,0.239,0.409,1.6,6.7,4.2,22.8,1.6,1.5,14.6,14.6,110,115,1,0.3,1.2,0.056,0,0
"71","Chris Webber","377","PF",21,"WSB",54,52,2067,464,938,0.495,40,145,0.276,424,793,0.535,117,233,0.502,200,318,518,256,83,85,167,186,1085,20.1,0.521,0.516,0.248,0.155,10.8,18.4,14.4,21.5,2,2.9,13.8,25.5,105,108,1.9,2.2,4,0.093,0,0
"72","Chris Whitney","383","PG",23,"SAS",25,0,179,14,47,0.298,3,19,0.158,11,28,0.393,11,11,1,4,9,13,28,4,0,18,34,42,3,0.405,0.33,0.234,0.404,2.7,5.4,4.1,21.2,1.1,0,25.8,17.2,84,110,-0.3,0.1,-0.2,-0.044,0,0
"73","Christian Laettner","201","C",25,"MIN",81,80,2770,450,920,0.489,13,40,0.325,437,880,0.497,409,500,0.818,164,449,613,234,101,87,225,302,1322,17.7,0.58,0.496,0.543,0.043,7.3,19.7,13.6,15.5,1.9,2.4,16.5,22.5,109,109,3.6,2.6,6.2,0.108,0,0
"74","Chuck Person","280","SF",30,"SAS",81,1,2033,317,750,0.423,172,445,0.387,145,305,0.475,66,102,0.647,49,209,258,106,45,12,102,198,872,11.5,0.549,0.537,0.136,0.593,2.9,11.1,7.2,7.9,1.1,0.4,11.4,19.4,107,108,1.5,2.1,3.6,0.085,0,0
"75","Chucky Brown","42","SF",26,"HOU",41,14,814,105,174,0.603,1,3,0.333,104,171,0.608,38,62,0.613,64,125,189,30,11,14,29,105,249,12.4,0.619,0.606,0.356,0.017,9.5,16.8,13.3,5.5,0.7,1.2,12.6,12.7,121,109,1.3,0.8,2.1,0.123,0,0
"76","Clarence Weatherspoon","375","SF",24,"PHI",76,76,2991,543,1238,0.439,4,21,0.19,539,1217,0.443,283,377,0.751,144,382,526,215,115,67,191,195,1373,15.2,0.489,0.44,0.305,0.017,5.6,15,10.3,12.8,2,1.7,12,23.8,101,109,0.7,2.9,3.6,0.057,0,0
"77","Cliff Levingston","208","PF",34,"DEN",57,0,469,55,130,0.423,0,1,0,55,129,0.426,19,45,0.422,49,75,124,27,13,20,21,91,129,10.5,0.431,0.423,0.346,0.008,12.9,18.7,15.8,8.7,1.5,3.1,12.3,16.4,98,107,-0.1,0.6,0.5,0.052,0,0
"78","Clifford Robinson","305","SF",28,"POR",75,73,2725,597,1320,0.452,142,383,0.371,455,937,0.486,265,382,0.694,152,271,423,198,79,82,158,240,1601,18.3,0.538,0.506,0.289,0.29,6,11.8,8.8,12.2,1.5,2.2,9.6,25.5,113,107,5.4,3.3,8.7,0.153,0,0
"79","Clifford Rozier","316","C",22,"GSW",66,34,1494,189,390,0.485,2,7,0.286,187,383,0.488,68,152,0.447,200,286,486,45,35,39,89,196,448,11.5,0.49,0.487,0.39,0.018,14.7,21.4,18,4.4,1.1,1.8,16.3,15.4,100,110,0.1,1.2,1.3,0.043,0,0
"80","Clyde Drexler","94","SG",32,"TOT",76,75,2728,571,1238,0.461,147,408,0.36,424,830,0.511,364,442,0.824,152,328,480,362,136,45,186,206,1653,22.4,0.577,0.521,0.357,0.33,6.3,13.7,10,22.1,2.5,1.2,11.5,25.7,119,106,8,3.7,11.7,0.206,2,230
"81","Corey Crowder","74","SF",25,"SAS",7,0,29,2,10,0.2,0,4,0,2,6,0.333,2,6,0.333,1,2,3,1,1,0,2,1,6,-2.5,0.237,0.2,0.6,0.4,4.1,7.4,5.9,4.6,1.7,0,13.7,22.2,54,109,-0.2,0,-0.1,-0.224,0,0
"82","Corey Gaines","125","SG",29,"PHI",11,8,280,24,51,0.471,2,15,0.133,22,36,0.611,5,11,0.455,1,17,18,33,8,1,14,23,55,7.2,0.492,0.49,0.216,0.294,0.4,7.1,3.7,17.9,1.5,0.3,20,11.1,98,114,0,0.1,0.1,0.013,0,0
